name,id,lat,lon,cumulative_revenue,capital_cost,traffic_per_day
Daroda,49,17.801103,78.471683,30.99,268.37,9739
Kelapur,51,18.205251,78.398261,41.24,161,11404
Allonia,62,18.538266,78.239734,109.25,90,14947
Gondhkhairi/ Kondhali,119,19.026592,78.362705,129.02,168,13249
Rolmamda,144,19.0990474,78.2133991,161.11,546.29,15927
Manoharabad,145,19.28019,78.409222,276.65,675,23254
Gamjal,146,19.781093,78.565772,124.11,271.73,22857
Pippalwada,147,20.019307,78.54022,98.87,360.42,11242
Borkhedi (Nagpur ByPass),164,20.450467,78.755153,509.2,1170.06,18342
Indalwai,173,20.85612,78.963632,158.52,490.5,23390
Ashoka DSC Katni bypass (MoRTH),287,20.857818,78.876369,86.83,48,12097
Koshta (MoRTH),290,21.137001,78.89666,95.12,48,10762
Fulara,324,21.343724,79.009038,7.59,348.87,5278
Jungawani,326,21.471322,78.8726,7.75,432.78,4297
Jaitpur,327,22.043538,79.418722,5.23,398.54,4029
Kelwad,329,22.269661,79.54517,12.02,429.57,7232
Patanswangi,341,22.377896,79.151021,28.22,2498.76,11802
Bhiknoor,378,22.548497,79.600413,32.68,NA,17677
Khadda,432,23.047864,79.907251,320765,434.87,7760
Sonvarsaa,433,23.418277,80.078098,92000,434.87,8349
Kherwasani,501,23.48399,80.30481,,855.57,30000
Majhgawan,504,23.888883,80.384806,216151,382.76,9962
Mohtara,523,24.122464,80.599361,,903.5,12826
Odhaki Paipkhar,524,24.395853,81.802372,1151000,816.38,12882
Dilawarpur,527,24.404862,81.079578,,244.08,30000
Boharipar,538,24.522264,81.365223,,955.28,10023
Haladgaon,550,24.550197,81.346796,,1065.51,7474
