District_C,samplesCollected,population
400,560,658917
401,659,840352
402,904,851669
403,2047,1493984
404,6089,1206640
405,982,1619707
406,2987,1625502
407,1444,822526
408,3061,1537133
409,2206,1721948
410,5337,2160876
411,588,1032754
412,627,799781
413,737,748941
414,3932,834375
415,442,139820
416,489,283479
417,480,255230
418,1492,795759
419,797,578824
420,596,730491
421,1216,1305343
422,1225,826165
423,799,789043
424,683,250159
425,1064,597653
426,625,701707
427,270,336420
